player_level,position,pos_sorted,player_name,client_platform,player_level_display,is_guest,player_dnf,pnhl_online_game_type,team_id,team_side,opponent_club_id,opponent_team_id,opponent_score,score,rating_defense,rating_offense,rating_teamplay,toi,toi_seconds,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,points,faceoffs_total,faceoff_percentage,shots_missed,shooting_percentage,passes_missed,passing_percentage,goals_saved,save_percentage,major_penalties,minor_penalties,total_penalties,points_per_60,possession_per_minute,shot_efficiency,takeaway_giveaway_ratio,penalty_differential,defensive_actions_per_minute,offensive_impact,defensive_impact,detailed_position,position_abbreviation,game_impact_score,puck_management_rating,possession_efficiency,net_defensive_contribution,time_adjusted_rating,shot_generation_rate,offensive_zone_presence,two_way_rating,match_id,club_id,player_id,game_result,home_away
15,defenseMen,2,Dxhlin,ps5,161,1,0,5,500,0,657,501,9,0,40.0,60.0,85.0,60,3600,0,0,0,0,0.0,0,2,0,0,6,11,20,18,90.0,0,0,0,-7,293,0,1,0,1,0.0,0.0,0,5,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,1,,2,90.0,,,0,0,0,0.0,4.88,0.0,2.5,0,0.18,0.0,0.15,leftDefense,LD,6.7,8.0,0.0,14,92.5,0.02,6.1,3.7,24298891930216,40295,473549866,loss,home
1,rightWing,3,GoodWAR__,ps5,130,1,0,5,500,0,657,501,9,0,40.0,60.0,55.0,60,3591,0,1,0,1,0.0,0,10,0,0,4,4,20,16,80.0,1,2,0,-7,246,0,0,0,2,100.0,0.0,2,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,1,0.0,0,0.0,4,80.0,,,0,1,1,0.0,4.1,0.0,0.2,0,0.12,0.02,-0.05,rightWing,RW,2.8,3.7,0.0,-3,77.5,0.03,5.5,1.4,24298891930216,40295,1214709901,loss,home
21,goalie,0,L0LCorbzzL3L,xbsx,299,1,0,5,500,0,657,501,9,0,80.0,40.0,45.0,60,3600,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,9,9.0,0.0,0,0,0,0,0.68,19,28,0,0,0,,0,,0,,19.0,67.86,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,3.7,1.7,,0,82.5,0.0,0.0,1.2,24298891930216,40295,1529903549,loss,home
1,center,5,malbom30,ps5,26,1,0,5,500,0,657,501,9,0,75.0,60.0,75.0,59,3558,0,3,0,13,48.0,12,10,0,0,7,3,17,12,70.59,0,2,0,-7,215,0,0,0,4,75.0,0.0,3,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,25,48.0,1,0.0,5,70.59,,,0,1,1,0.0,3.64,0.0,0.3,-1,0.22,0.03,0.05,center,C,3.3,3.4,0.0,-1,105.0,0.07,5.2,1.9,24298891930216,40295,1823870703,loss,home
1,leftWing,4,Zeehlo,xbsx,172,1,0,5,500,0,657,501,9,0,50.0,60.0,70.0,60,3600,0,0,0,0,0.0,0,6,0,0,4,2,24,19,79.17,0,0,0,-7,200,0,0,0,4,50.0,0.0,2,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,2,0.0,5,79.17,,,0,0,0,0.0,3.33,0.0,0.33,0,0.1,0.02,0.0,leftWing,LW,2.4,3.5,0.0,-2,90.0,0.07,5.3,1.4,24298891930216,40295,1005513617747,loss,home
15,defenseMen,1,I St Michel I,xbsx,92,1,0,5,500,0,40295,501,2,3,75.0,70.0,70.0,60,3600,0,2,0,0,0.0,0,5,0,0,4,5,25,18,72.0,0,0,0,1,415,0,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,0,,7,72.0,,,0,0,0,0.0,6.92,,0.4,0,0.13,0.0,0.05,rightDefense,RD,7.2,3.9,0.0,4,107.5,0.0,6.2,2.1,24298548190137,9927,175086551,win,home
6,rightWing,3,lCLuTcH GoDz,xbsx,56,0,0,5,500,0,40295,501,2,3,65.0,80.0,70.0,60,3600,0,0,0,0,0.0,0,5,1,0,4,5,18,12,66.67,0,0,0,1,248,0,0,0,6,83.33,20.0,5,5,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,1,20.0,6,66.67,,,0,0,0,1.0,4.13,16.67,1.0,0,0.15,0.07,0.07,rightWing,RW,4.4,4.7,0.24,5,107.5,0.1,6.2,3.4,24298548190137,9927,950809171,win,home
22,goalie,0,l Mooosey l,xbsx,299,0,0,5,500,0,40295,501,2,3,70.0,60.0,60.0,60,3600,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,2,2.0,0.0,0,0,0,0,0.75,6,8,0,0,0,,0,,0,,6.0,75.0,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,6.1,1.7,,0,95.0,0.0,0.0,1.2,24298548190137,9927,953871021,win,home
15,defenseMen,2,l-Bidas-l,ps5,172,1,0,5,500,0,40295,501,2,3,70.0,70.0,65.0,60,3600,1,0,0,0,0.0,0,4,0,0,2,3,19,15,78.95,0,0,0,1,230,0,0,0,3,66.67,0.0,2,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,1,0.0,4,78.95,,,0,0,0,1.0,3.83,0.0,0.75,0,0.08,0.03,0.02,leftDefense,LD,7.9,4.4,0.26,2,102.5,0.05,5.4,2.5,24298548190137,9927,992085259,win,home
2,leftWing,4,seabasky17,ps5,182,1,0,5,500,0,40295,501,2,3,65.0,70.0,75.0,60,3600,2,0,1,0,0.0,0,14,0,0,7,2,6,3,50.0,0,0,0,1,160,0,0,0,4,50.0,0.0,2,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,2,0.0,3,50.0,,,0,0,0,2.0,2.67,0.0,0.07,0,0.13,0.05,-0.1,leftWing,LW,3.8,2.1,0.75,-11,105.0,0.07,3.8,1.2,24298548190137,9927,1729652674,win,home
1,center,5,lm Deanoo,xbsx,196,0,0,5,500,0,40295,501,2,3,80.0,85.0,75.0,60,3600,0,2,0,8,55.56,10,4,2,1,3,4,15,11,73.33,0,0,0,1,190,0,0,0,5,60.0,66.67,3,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,18,55.56,2,66.67,4,73.33,,,0,0,0,2.0,3.17,40.0,0.0,0,0.08,0.09,0.02,center,C,6.6,3.1,0.63,2,120.0,0.08,4.9,3.0,24298548190137,9927,1004638340480,win,home
14,defenseMen,1,xDubz 17,xbsx,8,0,0,5,501,1,9927,500,3,2,85.0,80.0,70.0,60,3600,2,0,0,0,0.0,0,4,0,0,3,5,20,16,80.0,0,0,0,-1,179,0,0,0,3,33.33,0.0,1,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,2,0.0,4,80.0,,,0,0,0,2.0,2.98,0.0,1.0,0,0.12,0.04,0.05,rightDefense,RD,8.2,5.2,0.67,5,117.5,0.05,4.6,3.4,24298548190137,40295,183909582,loss,away
